-0.0001	-0.0001	
0.0655	0.0007	
0.1176	-0.0020	
0.1475	-0.0002	
0.1687	0.0001	
0.1888	-0.0051	
0.1825	-0.0023	
0.1795	-0.0006	
0.1787	0.0039	
0.1726	-0.0001	
0.1666	0.0013	
0.1721	-0.0024	
0.1611	-0.0005	
0.1547	0.0010	
0.1621	-0.0060	
0.1521	0.0011	
0.1496	0.0009	
0.1535	-0.0026	
0.1612	0.0035	
0.1564	-0.0007	
0.1562	0.0014	
0.1592	0.0029	
0.1587	-0.0019	
0.1582	0.0005	
0.1658	-0.0058	
0.1599	0.0005	
0.1559	0.0011	
0.1567	-0.0068	
0.1570	0.0035	
0.1555	0.0005	
0.1573	-0.0008	
0.1591	0.0023	
0.1577	-0.0008	
0.1535	0.0026	
0.1544	0.0002	
0.1559	-0.0023	
0.1540	0.0001	
0.1591	-0.0052	
0.0685	-0.0523	
0.0229	-0.0754	
-0.0043	-0.0943	
-0.0137	-0.1287	
-0.0267	-0.1357	
-0.0486	-0.1537	
-0.0449	-0.1713	
-0.0570	-0.1752	
-0.0428	-0.1730	
-0.0492	-0.1669	
-0.0560	-0.1603	
-0.0548	-0.1571	
-0.0579	-0.1577	
-0.0590	-0.1439	
-0.0606	-0.1382	
-0.0691	-0.1366	
-0.0708	-0.1450	
-0.0807	-0.1510	
-0.0828	-0.1390	
-0.0888	-0.1450	
-0.0847	-0.1248	
-0.0895	-0.1130	
-0.0936	-0.1120	
-0.0959	-0.1168	
-0.1125	-0.1280	
-0.1084	-0.1149	
-0.1113	-0.1208	
-0.1114	-0.1155	
-0.1133	-0.1142	
-0.1102	-0.1102	
-0.1116	-0.1106	
-0.1244	-0.1191	
-0.1139	-0.1065	
-0.1123	-0.0962	
-0.1201	-0.0890	
-0.1253	-0.0815	
-0.1423	-0.0872	
-0.1347	-0.0864	
-0.1403	-0.0907	
-0.1326	-0.0833	
-0.1320	-0.0900	
-0.1347	-0.0695	
-0.1365	-0.0677	
-0.1439	-0.0712	
-0.1327	-0.0525	
-0.1456	-0.0385	
-0.1554	-0.0541	
-0.1585	-0.0374	
-0.1644	-0.0291	
-0.1434	-0.0314	
-0.1597	-0.0204	
-0.1647	-0.0217	
-0.1706	-0.0132	
-0.1625	-0.0199	
-0.1706	-0.0147	
-0.1667	-0.0021	
-0.1734	0.0017	
-0.1681	-0.0033	
-0.1638	0.0032	
-0.1603	0.0024	
-0.1544	0.0065	
-0.1613	0.0051	
-0.1499	0.0244	
-0.1406	0.0174	
-0.1550	0.0209	
-0.1417	0.0348	
-0.1336	0.0374	
-0.1385	0.0391	
-0.1491	0.0512	
-0.1377	0.0566	
-0.1400	0.0587	
-0.1346	0.0604	
-0.1341	0.0659	
-0.1352	0.0714	
-0.1394	0.0791	
-0.1374	0.0824	
-0.1512	0.0903	
-0.1356	0.0883	
-0.1423	0.0892	
-0.1346	0.0870	
-0.1291	0.0868	
-0.1306	0.0809	
-0.1243	0.0974	
-0.1327	0.1167	
-0.1146	0.1122	
-0.1210	0.1193	
-0.1108	0.1126	
-0.1058	0.1106	
-0.1075	0.1115	
-0.1028	0.1127	
-0.0983	0.1264	
-0.0889	0.1261	
-0.0895	0.1288	
-0.0761	0.1247	
-0.0717	0.1296	
-0.0704	0.1306	
-0.0647	0.1348	
-0.0592	0.1463	
-0.0571	0.1424	
-0.0483	0.1548	
-0.0463	0.1593	
-0.0461	0.1429	
-0.0369	0.1495	
-0.0406	0.1496	
-0.0355	0.1480	
-0.0311	0.1593	
-0.0289	0.1511	
-0.0229	0.1661	
-0.0349	0.1721	
-0.0092	0.1517	
-0.0094	0.1585	
-0.0164	0.1697	
